printer_string,printer_shortname,notes,books_on_workbench,workbench_set,export_cdt,group_ID,books_in_libraries
"""Cole, Peter (cni00032399)""",cole,,10,y,https://printprobdb.psc.edu/api/character_groupings/11271f73-15cf-4b20-87fc-f511cab4c01f/download/,11271f73-15cf-4b20-87fc-f511cab4c01f,
"""Everingham, Robert (cni00007207)""",everingham,,10,y,https://printprobdb.psc.edu/api/character_groupings/e822db51-ff8d-40db-a201-8f4b70bb522a/download/,e822db51-ff8d-40db-a201-8f4b70bb522a,
"""Gain, John (BBTI: 26651)""",jgaines,,10,y,https://printprobdb.psc.edu/api/character_groupings/ee5b4169-da28-4f0f-b2f3-6dcf8fc54ed9/download/,ee5b4169-da28-4f0f-b2f3-6dcf8fc54ed9,
"""Hayes, John (cni00091747)""",jhayes,hayes,10,y,https://printprobdb.psc.edu/api/character_groupings/f273df8b-950a-41aa-a401-1741e45e6477/download/,f273df8b-950a-41aa-a401-1741e45e6477,
"""Jones, Edward (fl. 1684-1705)""",ejones,,10,y,https://printprobdb.psc.edu/api/character_groupings/74d9cdbd-28f4-46ba-8a00-c96fa6566893/download/,74d9cdbd-28f4-46ba-8a00-c96fa6566893,
"""Larkin, George (cnp01340470)""",glarkin,glarkini,10,y,https://printprobdb.psc.edu/api/character_groupings/dffabcec-dc8f-4c84-806a-f78dc6dcab77/download/,dffabcec-dc8f-4c84-806a-f78dc6dcab77,
"""Ratcliffe, Thomas (BBTI: 56789)""",tratcliffe,ratcliffe,10,y,https://printprobdb.psc.edu/api/character_groupings/7fbfafa4-7ec6-4162-b136-7dbcc3862908/download/,7fbfafa4-7ec6-4162-b136-7dbcc3862908,
"""Richardson, John (1673-1703)""",jrichardson,,10,y,https://printprobdb.psc.edu/api/character_groupings/ad544734-db62-4d22-b119-d5271fb49937/download/,ad544734-db62-4d22-b119-d5271fb49937,
"""Everingham, Richard""",rieveringham,,10,y,https://printprobdb.psc.edu/api/character_groupings/e822db51-ff8d-40db-a201-8f4b70bb522a/download/,e822db51-ff8d-40db-a201-8f4b70bb522a,
"""Baldwin, Richard (cni00039898)""",rbaldwin,cni00039898,9,y,https://printprobdb.psc.edu/api/character_groupings/7ffacebb-01d5-46d3-9056-4c7f5468c1c1/download/,7ffacebb-01d5-46d3-9056-4c7f5468c1c1,
"""Braddyll, Thomas (cni00030486)""",tbraddyll,,9,y,https://printprobdb.psc.edu/api/character_groupings/479974b9-c890-4b0c-93f1-67d19bf25c7b/download/,479974b9-c890-4b0c-93f1-67d19bf25c7b,
"""Leake, John (cni00105771)""",jleake,,9,y,https://printprobdb.psc.edu/api/character_groupings/cd104c6d-dfa6-4e37-a7c4-e8d1e403d37c/download/,cd104c6d-dfa6-4e37-a7c4-e8d1e403d37c,
"""Roberts, Robert (cni00033906)""",rroberts,,9,y,https://printprobdb.psc.edu/api/character_groupings/26dde26f-bddd-4b87-a52f-8da1e15b350b/download/,26dde26f-bddd-4b87-a52f-8da1e15b350b,
"""Sowle, Andrew""",asowle,,9,y,https://printprobdb.psc.edu/api/character_groupings/99a428fc-6f99-41d0-9b49-2b96f796832f/download/,99a428fc-6f99-41d0-9b49-2b96f796832f,
"""Tyler, Evan (cni00007820)""",etyler,,9,y,https://printprobdb.psc.edu/api/character_groupings/1d49f402-f974-4fa3-b082-f43b3f993fa2/download/,1d49f402-f974-4fa3-b082-f43b3f993fa2,
"""Macock, John""",macock,,8,y,https://printprobdb.psc.edu/api/character_groupings/c075de77-e585-4bc1-8c52-0a7ee3290ce3/download/,c075de77-e585-4bc1-8c52-0a7ee3290ce3,
"""Maxwell, Anne (cni00100183)""",amaxwell,,8,y,https://printprobdb.psc.edu/api/character_groupings/0bbfbb03-56e9-4e09-923d-513deb2889d4/download/,0bbfbb03-56e9-4e09-923d-513deb2889d4,
"""Norton, Roger (cni00022421)""",norton,,8,y,https://printprobdb.psc.edu/api/character_groupings/aa9a837e-1b0f-4670-a78d-53a6a22f11c5/download/,aa9a837e-1b0f-4670-a78d-53a6a22f11c5,
"""Roycroft, Samuel (cni00027829)""",sroycroft,,8,y,https://printprobdb.psc.edu/api/character_groupings/e46d9fa4-0a26-45f9-8165-7de1fb65cf75/download/,e46d9fa4-0a26-45f9-8165-7de1fb65cf75,
"""Warren, Thomas (fl. 1693-1707?)""",twarreniii,twarreniii,8,y,https://printprobdb.psc.edu/api/character_groupings/abd621b0-7287-4220-b3bc-230ba2320af5/download/,abd621b0-7287-4220-b3bc-230ba2320af5,
"""Croom, George (cni00033744)""",gcroom,,7,y,https://printprobdb.psc.edu/api/character_groupings/a2e8bb75-30ab-48c3-a0d7-ee2cd46bcc4c/download/,a2e8bb75-30ab-48c3-a0d7-ee2cd46bcc4c,
"""Darby, John (cni00027943)""",jdarby,darby,7,y,https://printprobdb.psc.edu/api/character_groupings/bb68eb6f-9e62-4326-bc2c-0cfbc9264c5f/download/,bb68eb6f-9e62-4326-bc2c-0cfbc9264c5f,
"""Hodgkin, Thomas (cni00031322)""",thodgkin,"""Thomas Hodgkin"" on workbench",7,y,https://printprobdb.psc.edu/api/character_groupings/de560de3-94a1-4355-8e56-dfd945c6ecd5/download/,de560de3-94a1-4355-8e56-dfd945c6ecd5,
"""Mabb, Thomas (cni00010368)""",tmabb,,7,y,https://printprobdb.psc.edu/api/character_groupings/0d22a678-7b81-498a-9c5f-0d22f1cd0f06/download/,0d22a678-7b81-498a-9c5f-0d22f1cd0f06,
"""Simmons, Matthew""",simmons,,7,y,https://printprobdb.psc.edu/api/character_groupings/e48f9e24-c5e7-477f-bf73-72a539f6545e/download/,e48f9e24-c5e7-477f-bf73-72a539f6545e,
"""Collins, Freeman (cnp01334215)""",fcollins,,6,y,https://printprobdb.psc.edu/api/character_groupings/f23fb2a7-8996-4402-b04d-a6bf437385cf/download/,f23fb2a7-8996-4402-b04d-a6bf437385cf,
"""Daniel, Roger (cni00022251)""",rdaniel,,6,y,https://printprobdb.psc.edu/api/character_groupings/fd193b55-b438-4d0b-8507-18425e88a345/download/,fd193b55-b438-4d0b-8507-18425e88a345,
"""Hills, Henry, Sr. (cnp01338081)""",hhillssr,,6,y,https://printprobdb.psc.edu/api/character_groupings/09360a8c-bf6f-46a4-a3ff-4e72dfe8d847/download/,09360a8c-bf6f-46a4-a3ff-4e72dfe8d847,
"""Holt, Ralph (cni00026018)""",rholt,,6,y,https://printprobdb.psc.edu/api/character_groupings/b07e00cf-809f-42c0-a172-19fefefc4fb4/download/,b07e00cf-809f-42c0-a172-19fefefc4fb4,
"""James, Thomas (cni00030731)""",tjames,,6,y,https://printprobdb.psc.edu/api/character_groupings/5a053451-3dd1-44a9-bb09-2fb936597ffd/download/,5a053451-3dd1-44a9-bb09-2fb936597ffd,
